gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
549,194803280BOS,NBA,0,1948,3/28/1948,49,1,BOS,Celtics,72,1312.5914,1304.9589,31.554913,CHS,Stags,79,1438.3618,1445.9944,H,L,0.46298128,
552,194803310BOS,NBA,0,1948,3/31/1948,50,1,BOS,Celtics,81,1304.9589,1312.2666,32.283836,CHS,Stags,77,1445.9944,1438.6866,H,W,0.44121823,
555,194804020BOS,NBA,0,1948,4/2/1948,51,1,BOS,Celtics,74,1312.2666,1304.6532,31.524557,CHS,Stags,81,1438.6866,1446.3,H,L,0.46205163,
1893,195103200BOS,NBA,0,1951,3/20/1951,70,1,BOS,Celtics,69,1506.6257,1488.9506,39.948803,NYK,Knicks,83,1510.833,1528.5082,H,L,0.63446665,
1898,195103220NYK,NBA,1,1951,3/22/1951,71,1,BOS,Celtics,78,1488.9506,1481.7932,39.198959,NYK,Knicks,92,1528.5082,1535.6655,A,L,0.30930763,
2250,195203190BOS,NBA,0,1952,3/19/1952,67,1,BOS,Celtics,105,1574.9653,1582.4563,48.504478,NYK,Knicks,94,1579.5975,1572.1066,H,W,0.63389921,
2255,195203230NYK,NBA,1,1952,3/23/1952,68,1,BOS,Celtics,97,1582.4563,1578.0449,48.056339,NYK,Knicks,101,1572.1066,1576.5179,A,L,0.37377203,
2258,195203260BOS,NBA,0,1952,3/26/1952,69,1,BOS,Celtics,87,1578.0449,1572.3955,47.4799,NYK,Knicks,88,1576.5179,1582.1674,H,L,0.64208758,
2626,195303190SYR,NBA,1,1953,3/19/1953,72,1,BOS,Celtics,87,1584.0746,1596.8373,50.079281,SYR,Sixers,81,1646.4547,1633.692,A,W,0.28196502,
2629,195303210BOS,NBA,0,1953,3/21/1953,73,1,BOS,Celtics,111,1596.8373,1602.8749,50.67944,SYR,Sixers,105,1633.692,1627.6544,H,W,0.58988583,
2634,195303250NYK,NBA,1,1953,3/25/1953,74,1,BOS,Celtics,91,1602.8749,1599.1079,50.305485,NYK,Knicks,95,1627.8087,1631.5757,A,L,0.32757425,
2635,195303260BOS,NBA,0,1953,3/26/1953,75,1,BOS,Celtics,86,1599.1079,1609.8855,51.370834,NYK,Knicks,70,1631.5757,1620.7981,H,W,0.59598094,
2638,195303280NYK,NBA,1,1953,3/28/1953,76,1,BOS,Celtics,82,1609.8855,1599.8497,50.379257,NYK,Knicks,101,1620.7981,1630.8339,A,L,0.34559381,
2639,195303290BOS,NBA,0,1953,3/29/1953,77,1,BOS,Celtics,75,1599.8497,1589.1995,49.314182,NYK,Knicks,82,1630.8339,1641.4841,H,L,0.59803575,
2972,195403160NYK,NBA,1,1954,3/16/1954,73,1,BOS,Celtics,93,1599.2255,1618.9003,51.77879,NYK,Knicks,71,1532.0281,1512.3533,A,W,0.45293301,Round Robin
2974,195403170BOS,NBA,0,1954,3/17/1954,74,1,BOS,Celtics,95,1618.9003,1613.4047,51.240211,SYR,Sixers,96,1626.6836,1632.1792,H,L,0.62967944,Round Robin
2978,195403200BOS,NBA,0,1954,3/20/1954,75,1,BOS,Celtics,79,1613.4047,1615.0436,51.401234,NYK,Knicks,78,1509.2047,1507.5658,H,W,0.7641322,Round Robin
2982,195403220SYR,NBA,1,1954,3/22/1954,76,1,BOS,Celtics,85,1615.0436,1607.7805,50.685108,SYR,Sixers,98,1641.0214,1648.2844,A,L,0.32625192,Round Robin
2984,195403250SYR,NBA,1,1954,3/25/1954,77,1,BOS,Celtics,94,1607.7805,1600.3215,49.9431,SYR,Sixers,109,1648.2844,1655.7434,A,L,0.30814511,
2985,195403270BOS,NBA,0,1954,3/27/1954,78,1,BOS,Celtics,76,1600.3215,1590.4844,48.955105,SYR,Sixers,83,1655.7434,1665.5806,H,L,0.56380332,
3283,195503150BOS,NBA,0,1955,3/15/1955,73,1,BOS,Celtics,122,1478.5975,1494.5989,36.826786,NYK,Knicks,101,1563.2231,1547.2218,H,W,0.52211112,
3285,195503160NYK,NBA,1,1955,3/16/1955,74,1,BOS,Celtics,95,1494.5989,1490.1984,36.370518,NYK,Knicks,102,1547.2218,1551.6223,A,L,0.29347456,
