,year_id,date_game,is_playoffs,team_id,opp_id,game_result
61923,1990,11/3/1989,0,ATL,IND,L
61925,1990,11/3/1989,0,BOS,MIL,W
61927,1990,11/3/1989,0,CHH,WSB,L
61928,1990,11/3/1989,0,CHI,CLE,W
61931,1990,11/3/1989,0,DAL,LAL,L
61933,1990,11/3/1989,0,DET,NYK,W
61934,1990,11/3/1989,0,LAC,HOU,W
61937,1990,11/3/1989,0,MIA,NJN,L
61939,1990,11/3/1989,0,PHO,GSW,W
61940,1990,11/3/1989,0,POR,SAC,W
61943,1990,11/3/1989,0,SEA,MIN,W
61944,1990,11/3/1989,0,UTA,DEN,W
61947,1990,11/4/1989,0,CHI,BOS,L
61949,1990,11/4/1989,0,DEN,PHO,W
61951,1990,11/4/1989,0,GSW,HOU,L
61952,1990,11/4/1989,0,IND,CLE,W
61955,1990,11/4/1989,0,NYK,MIA,W
61957,1990,11/4/1989,0,ORL,NJN,L
61959,1990,11/4/1989,0,PHI,MIL,L
61960,1990,11/4/1989,0,SAC,SEA,W
61962,1990,11/4/1989,0,SAS,LAL,W
61965,1990,11/4/1989,0,WSB,DET,L
61966,1990,11/5/1989,0,POR,MIN,W
61969,1990,11/6/1989,0,ORL,NYK,W
61970,1990,11/7/1989,0,ATL,WSB,L
61973,1990,11/7/1989,0,CHI,DET,W
61974,1990,11/7/1989,0,GSW,LAC,W
61976,1990,11/7/1989,0,HOU,POR,W
61979,1990,11/7/1989,0,LAL,PHO,W
61980,1990,11/7/1989,0,MIL,BOS,W
61982,1990,11/7/1989,0,NJN,MIA,L
61984,1990,11/7/1989,0,SAC,DAL,W
61987,1990,11/7/1989,0,SEA,CHH,W
61988,1990,11/8/1989,0,CLE,ORL,L
61991,1990,11/8/1989,0,DEN,SAC,W
61993,1990,11/8/1989,0,IND,DET,W
61995,1990,11/8/1989,0,LAC,DAL,L
61997,1990,11/8/1989,0,MIN,CHI,L
61998,1990,11/8/1989,0,PHI,MIA,W
62001,1990,11/8/1989,0,SAS,POR,L
62002,1990,11/8/1989,0,UTA,CHH,W
62005,1990,11/8/1989,0,WSB,BOS,W
62007,1990,11/9/1989,0,GSW,LAL,L
62008,1990,11/9/1989,0,HOU,DEN,L
62011,1990,11/9/1989,0,MIL,SEA,W
62012,1990,11/9/1989,0,NYK,NJN,W
